Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2021-02-16 00:00:00+00:00,1779.33,1827.28,1724.0,1781.99,817493.47513,2021-02-16 23:59:59.999000+00:00,1455884891.92438,826125,389395.787,693804838.7492043,0
2021-02-17 00:00:00+00:00,1781.99,1855.0,1733.01,1849.88,795711.63311,2021-02-17 23:59:59.999000+00:00,1437546812.9718318,862461,412387.45021,745568293.761723,0
2021-02-18 00:00:00+00:00,1849.7,1950.5,1849.69,1939.61,937227.10191,2021-02-18 23:59:59.999000+00:00,1787383532.102376,1053661,493607.02549,941541216.781136,0
2021-02-19 00:00:00+00:00,1938.91,1972.82,1891.0,1955.0,793404.4115,2021-02-19 23:59:59.999000+00:00,1533991632.129546,988320,388954.85277,752267904.1699667,0
2021-02-20 00:00:00+00:00,1955.46,2042.34,1803.14,1913.0,1261315.81279,2021-02-20 23:59:59.999000+00:00,2493836246.4871454,1329067,624716.42408,1236782122.3446047,0
2021-02-21 00:00:00+00:00,1912.9,1976.31,1883.01,1933.53,756568.19743,2021-02-21 23:59:59.999000+00:00,1467970937.2850723,895138,386132.26661,749271580.5746851,0
2021-02-22 00:00:00+00:00,1933.54,1936.29,1551.0,1777.58,1807244.98099,2021-02-22 23:59:59.999000+00:00,3200483176.9795847,1799926,854014.62953,1513747907.8030388,0
2021-02-23 00:00:00+00:00,1777.42,1782.39,1355.0,1577.89,2547837.82068,2021-02-23 23:59:59.999000+00:00,3931407907.534277,2396626,1231889.46331,1903489088.1439059,0
2021-02-24 00:00:00+00:00,1577.79,1712.7,1500.2,1623.39,1384388.81727,2021-02-24 23:59:59.999000+00:00,2261264845.4650745,1319936,705887.81504,1153792817.1865425,0
2021-02-25 00:00:00+00:00,1623.16,1671.59,1459.16,1481.75,1032670.79409,2021-02-25 23:59:59.999000+00:00,1650582276.871864,1110019,501173.65129,802212265.4535745,0
2021-02-26 00:00:00+00:00,1482.08,1562.25,1400.0,1444.59,1355973.29378,2021-02-26 23:59:59.999000+00:00,2004016547.111193,1298739,662906.93964,979857228.4282846,0
2021-02-27 00:00:00+00:00,1444.56,1529.0,1425.0,1458.13,927423.0475,2021-02-27 23:59:59.999000+00:00,1375946816.3325431,954919,452205.99129,671100313.8001161,0
2021-02-28 00:00:00+00:00,1458.27,1468.75,1293.18,1419.18,1410207.56284,2021-02-28 23:59:59.999000+00:00,1929140046.6462588,1190546,704060.34406,963537938.0773448,0
2021-03-01 00:00:00+00:00,1418.67,1572.0,1409.91,1569.86,1094695.17839,2021-03-01 23:59:59.999000+00:00,1642627276.3105588,989006,568597.04493,853434777.3750483,0
2021-03-02 00:00:00+00:00,1570.0,1602.9,1455.52,1486.78,1061142.38743,2021-03-02 23:59:59.999000+00:00,1627312282.623529,966176,508683.55658,781051077.7385646,0
2021-03-03 00:00:00+00:00,1486.79,1656.94,1475.47,1567.69,1054846.31471,2021-03-03 23:59:59.999000+00:00,1676300215.0458324,1237215,534919.19161,850213871.6866411,0
2021-03-04 00:00:00+00:00,1567.68,1624.87,1506.36,1539.23,946365.67088,2021-03-04 23:59:59.999000+00:00,1476463517.9864872,1125118,468540.00465,731257773.7169954,0
2021-03-05 00:00:00+00:00,1539.22,1548.96,1441.66,1528.31,910786.28976,2021-03-05 23:59:59.999000+00:00,1355798089.272699,1000913,451258.01245,672042056.2406199,0
2021-03-06 00:00:00+00:00,1528.08,1671.58,1513.03,1650.35,1013300.93928,2021-03-06 23:59:59.999000+00:00,1611851701.8240166,1188531,536167.18087,853820036.0928468,0
2021-03-07 00:00:00+00:00,1650.68,1734.16,1630.35,1726.16,848470.78136,2021-03-07 23:59:59.999000+00:00,1414988218.19354,1166072,432388.65922,721395027.1827203,0
2021-03-08 00:00:00+00:00,1726.46,1843.59,1664.96,1833.18,1149711.39987,2021-03-08 23:59:59.999000+00:00,1995142128.6481345,1407402,602217.91071,1046045706.9018365,0
2021-03-09 00:00:00+00:00,1833.22,1870.77,1798.2,1870.51,857229.47855,2021-03-09 23:59:59.999000+00:00,1570286249.4509006,1196670,414078.09328,758575748.3569634,0
2021-03-10 00:00:00+00:00,1870.5,1877.69,1757.0,1795.12,937230.62831,2021-03-10 23:59:59.999000+00:00,1706230875.2676637,1098051,451348.3302,821707575.727272,0
2021-03-11 00:00:00+00:00,1795.28,1846.7,1725.0,1825.78,909011.4961,2021-03-11 23:59:59.999000+00:00,1627027458.0887964,1023958,443744.99114,794476087.9173055,0
2021-03-12 00:00:00+00:00,1825.78,1841.88,1719.72,1766.1,869564.6361,2021-03-12 23:59:59.999000+00:00,1542873062.4201016,1126153,426161.7788,756268155.2595268,0
2021-03-13 00:00:00+00:00,1766.13,1944.3,1727.75,1922.35,926283.22642,2021-03-13 23:59:59.999000+00:00,1718553131.9614732,1265904,471925.04818,875441534.0351523,0
2021-03-14 00:00:00+00:00,1922.35,1933.1,1836.0,1848.1,637963.63627,2021-03-14 23:59:59.999000+00:00,1200354205.603357,963564,301776.22952,567878404.1829317,0
2021-03-15 00:00:00+00:00,1848.1,1891.76,1730.0,1793.48,1025326.79658,2021-03-15 23:59:59.999000+00:00,1842608872.7630599,1496415,511041.33812,918123974.5540835,0
2021-03-16 00:00:00+00:00,1793.99,1819.5,1711.68,1805.12,764993.40147,2021-03-16 23:59:59.999000+00:00,1360127229.789916,987906,388327.71998,690760061.4775399,0
